Neu7316-170,SBS2,1538.826773
Neu7316-170,SBS28,26.09206342
Ter7316-965,SBS5,50653.757
Ter7316-965,SBS89,41661.88732
Ter7316-965,SBS40,35115.23237
Ter7316-965,SBS26,11999.85457
Ter7316-965,SBS85,10772.00863
Ter7316-965,SBS1,9936.303256
Ter7316-965,SBS37,9180.121613
Ter7316-965,SBS6,8206.316944
Ter7316-965,SBS33,6138.248519
Ter7316-965,SBS32,5627.35609
Ter7316-965,SBS19,4770.713115
Ter7316-965,SBS39,4475.729194
Ter7316-965,SBS87,4405.385398
Ter7316-965,SBS17a,2712.928703
Ter7316-965,SBS7b,2615.894401
Ter7316-965,SBS10b,1772.914238
Ter7316-965,SBS29,1766.616888
Ter7316-965,SBS91,944.6905448
Ter7316-965,SBS2,884.3283025
Pit7316-1096,SBS5,58394.05167
Pit7316-1096,SBS89,47745.3313
Pit7316-1096,SBS40,31854.96014
Pit7316-1096,SBS85,15708.1958
Pit7316-1096,SBS26,13990.09298
Pit7316-1096,SBS1,11927.49645
Pit7316-1096,SBS6,8262.028735
Pit7316-1096,SBS33,6705.680888
Pit7316-1096,SBS37,6587.623289
Pit7316-1096,SBS32,6266.920638
Pit7316-1096,SBS19,5237.671538
Pit7316-1096,SBS87,5022.846752
Pit7316-1096,SBS39,4092.932421
Pit7316-1096,SBS29,3490.660409
Pit7316-1096,SBS7b,3355.364134
Pit7316-1096,SBS17a,2971.903358
Pit7316-1096,SBS10b,1875.679422
Pit7316-1096,SBS2,1401.527171
Pit7316-1096,SBS91,364.3325204
