EP_7316-6283,SBS5,85327.8731550551
EP_7316-2666,SBS5,76700.0382757099
EP_7316-189,SBS5,73489.8433201034
EP_7316-3069,SBS5,70404.9678657421
EP_7316-2858,SBS5,69677.8538032271
EP_7316-3631,SBS5,69466.0561172554
EP_7316-111,SBS5,68714.7509406955
EP_7316-1786,SBS5,64512.8561303382
EP_7316-2558,SBS5,64257.3415828611
EP_7316-2648,SBS5,63113.1837637195
EP_7316-1961,SBS5,62108.127154551
EP_7316-405,SBS5,61688.4283299997
EP_7316-3755,SBS5,60599.6556889339
EP_7316-2267,SBS5,59829.087713057
EP_7316-1642,SBS5,59285.5350507877
EP_7316-3299,SBS5,58995.0518171835
EP_7316-2138,SBS5,58483.0328903872
EP_7316-47,SBS5,58394.3437261024
EP_7316-1955,SBS5,58277.3620580397
EP_7316-2266,SBS5,58175.9736836792
EP_7316-2170,SBS89,57169.5068272128
EP_7316-2278,SBS5,56868.3224259526
EP_7316-429,SBS5,56829.4777607992
EP_7316-904,SBS5,56469.0082437003
EP_7316-88,SBS5,56224.763037237
EP_7316-889,SBS89,56090.6496242444
EP_7316-1706,SBS5,55843.066168795
EP_7316-1944,SBS5,55653.061381827
EP_7316-966,SBS89,55364.8358883747
EP_7316-3516,SBS5,55272.7610184856
EP_7316-384,SBS5,55214.974179244
EP_7316-2182,SBS89,55159.4556310277
EP_7316-160,SBS89,55124.1732828119
EP_7316-198,SBS5,54867.690783338
EP_7316-3,SBS89,53653.0041045451
EP_7316-3893,SBS5,53475.5286177492
EP_7316-2567,SBS89,53304.7130852561
EP_7316-2757,SBS5,53029.6805697608
EP_7316-2144,SBS89,52679.2338150554
EP_7316-1969,SBS5,52488.1069925475
EP_7316-2156,SBS5,52308.8611020551
EP_7316-2726,SBS5,52291.1933772173
EP_7316-2313,SBS5,52192.4483883742
EP_7316-3624,SBS5,52047.5566555837
EP_7316-1641,SBS89,51995.4839783123
EP_7316-1976,SBS89,51921.7132077401
EP_7316-1641,SBS5,51701.9038437788
EP_7316-1107,SBS5,51622.7789031679
EP_7316-1642,SBS89,51472.9352886116
EP_7316-2138,SBS89,51234.5003311068
EP_7316-496,SBS89,51122.9940280736
EP_7316-174,SBS5,50974.2641024377
EP_7316-455,SBS89,50882.9742329225
EP_7316-2144,SBS5,50667.5255175734
EP_7316-174,SBS89,50636.1875195658
EP_7316-872,SBS5,50322.9235287653
EP_7316-455,SBS5,50126.4037756237
EP_7316-2567,SBS5,50036.736611004
EP_7316-496,SBS5,49977.8174841157
EP_7316-1976,SBS5,49691.2679436788
EP_7316-454,SBS89,49655.6741289199
