"File","Signature","Contribution"
"7316-204.vcf.gz","SBS1",355672.250681151
"7316-204.vcf.gz","SBS2",12421.1510877061
"7316-204.vcf.gz","SBS3",0
"7316-204.vcf.gz","SBS4",0
"7316-204.vcf.gz","SBS5",2210207.05728043
"7316-204.vcf.gz","SBS6",0
"7316-204.vcf.gz","SBS7a",0
"7316-204.vcf.gz","SBS7b",0
"7316-204.vcf.gz","SBS7c",8356.26998383502
"7316-204.vcf.gz","SBS7d",0
"7316-204.vcf.gz","SBS8",0
"7316-204.vcf.gz","SBS9",68475.6588619749
"7316-204.vcf.gz","SBS10a",0
"7316-204.vcf.gz","SBS10b",0
"7316-204.vcf.gz","SBS10c",0
"7316-204.vcf.gz","SBS10d",0
"7316-204.vcf.gz","SBS11",0
"7316-204.vcf.gz","SBS12",0
"7316-204.vcf.gz","SBS13",0
"7316-204.vcf.gz","SBS14",0
"7316-204.vcf.gz","SBS15",0
"7316-204.vcf.gz","SBS16",0
"7316-204.vcf.gz","SBS17a",28773.9445538893
"7316-204.vcf.gz","SBS17b",0
"7316-204.vcf.gz","SBS18",0
"7316-204.vcf.gz","SBS19",47751.6488656275
"7316-204.vcf.gz","SBS20",12185.3419825835
"7316-204.vcf.gz","SBS21",0
"7316-204.vcf.gz","SBS22",0
"7316-204.vcf.gz","SBS23",0
"7316-204.vcf.gz","SBS24",0
"7316-204.vcf.gz","SBS25",0
"7316-204.vcf.gz","SBS26",467478.487290216
"7316-204.vcf.gz","SBS28",7548.07269468029
"7316-204.vcf.gz","SBS29",0
"7316-204.vcf.gz","SBS30",0
"7316-204.vcf.gz","SBS31",0
"7316-204.vcf.gz","SBS32",220511.899747913
"7316-204.vcf.gz","SBS33",128399.396585708
"7316-204.vcf.gz","SBS34",28190.963239946
"7316-204.vcf.gz","SBS35",0
"7316-204.vcf.gz","SBS36",0
"7316-204.vcf.gz","SBS37",31339.9390546799
"7316-204.vcf.gz","SBS38",0
"7316-204.vcf.gz","SBS39",82894.8337644173
"7316-204.vcf.gz","SBS40",0
"7316-204.vcf.gz","SBS41",0
"7316-204.vcf.gz","SBS42",0
"7316-204.vcf.gz","SBS44",0
"7316-204.vcf.gz","SBS84",0
"7316-204.vcf.gz","SBS85",9696.67304625118
"7316-204.vcf.gz","SBS86",0
"7316-204.vcf.gz","SBS87",87228.9419775522
"7316-204.vcf.gz","SBS88",0
"7316-204.vcf.gz","SBS89",245773.782052956
"7316-204.vcf.gz","SBS90",25.5101314257037
"7316-204.vcf.gz","SBS91",0
"7316-204.vcf.gz","SBS92",0
"7316-204.vcf.gz","SBS93",0
"7316-204.vcf.gz","SBS94",0
