"File","Signature","Contribution"
"7316-870.vcf.gz","SBS1",344409.1625162
"7316-870.vcf.gz","SBS2",12065.3757293331
"7316-870.vcf.gz","SBS3",0
"7316-870.vcf.gz","SBS4",0
"7316-870.vcf.gz","SBS5",2140075.48838298
"7316-870.vcf.gz","SBS6",0
"7316-870.vcf.gz","SBS7a",0
"7316-870.vcf.gz","SBS7b",0
"7316-870.vcf.gz","SBS7c",7772.96605365472
"7316-870.vcf.gz","SBS7d",0
"7316-870.vcf.gz","SBS8",0
"7316-870.vcf.gz","SBS9",65044.7214490175
"7316-870.vcf.gz","SBS10a",0
"7316-870.vcf.gz","SBS10b",0
"7316-870.vcf.gz","SBS10c",0
"7316-870.vcf.gz","SBS10d",0
"7316-870.vcf.gz","SBS11",0
"7316-870.vcf.gz","SBS12",0
"7316-870.vcf.gz","SBS13",0
"7316-870.vcf.gz","SBS14",0
"7316-870.vcf.gz","SBS15",0
"7316-870.vcf.gz","SBS16",0
"7316-870.vcf.gz","SBS17a",29252.364504393
"7316-870.vcf.gz","SBS17b",0
"7316-870.vcf.gz","SBS18",0
"7316-870.vcf.gz","SBS19",46626.6219757548
"7316-870.vcf.gz","SBS20",10774.7837021047
"7316-870.vcf.gz","SBS21",0
"7316-870.vcf.gz","SBS22",0
"7316-870.vcf.gz","SBS23",0
"7316-870.vcf.gz","SBS24",0
"7316-870.vcf.gz","SBS25",0
"7316-870.vcf.gz","SBS26",464827.426307657
"7316-870.vcf.gz","SBS28",8648.71522149308
"7316-870.vcf.gz","SBS29",0
"7316-870.vcf.gz","SBS30",0
"7316-870.vcf.gz","SBS31",0
"7316-870.vcf.gz","SBS32",211550.964284266
"7316-870.vcf.gz","SBS33",125783.649138619
"7316-870.vcf.gz","SBS34",26687.6257318934
"7316-870.vcf.gz","SBS35",0
"7316-870.vcf.gz","SBS36",0
"7316-870.vcf.gz","SBS37",25439.6360648068
"7316-870.vcf.gz","SBS38",0
"7316-870.vcf.gz","SBS39",83732.5332244129
"7316-870.vcf.gz","SBS40",0
"7316-870.vcf.gz","SBS41",0
"7316-870.vcf.gz","SBS42",0
"7316-870.vcf.gz","SBS44",1128.9182325315
"7316-870.vcf.gz","SBS84",0
"7316-870.vcf.gz","SBS85",9795.85159807932
"7316-870.vcf.gz","SBS86",0
"7316-870.vcf.gz","SBS87",87233.1774268282
"7316-870.vcf.gz","SBS88",0
"7316-870.vcf.gz","SBS89",254049.620118469
"7316-870.vcf.gz","SBS90",0
"7316-870.vcf.gz","SBS91",0
"7316-870.vcf.gz","SBS92",0
"7316-870.vcf.gz","SBS93",0
"7316-870.vcf.gz","SBS94",0
