"File","Signature","Contribution"
"7316-2176.vcf.gz","SBS1",355212.558373838
"7316-2176.vcf.gz","SBS2",12902.1721428908
"7316-2176.vcf.gz","SBS3",0
"7316-2176.vcf.gz","SBS4",0
"7316-2176.vcf.gz","SBS5",2222456.84442624
"7316-2176.vcf.gz","SBS6",0
"7316-2176.vcf.gz","SBS7a",0
"7316-2176.vcf.gz","SBS7b",0
"7316-2176.vcf.gz","SBS7c",9404.98692559464
"7316-2176.vcf.gz","SBS7d",0
"7316-2176.vcf.gz","SBS8",0
"7316-2176.vcf.gz","SBS9",68047.5316951483
"7316-2176.vcf.gz","SBS10a",0
"7316-2176.vcf.gz","SBS10b",0
"7316-2176.vcf.gz","SBS10c",0
"7316-2176.vcf.gz","SBS10d",0
"7316-2176.vcf.gz","SBS11",0
"7316-2176.vcf.gz","SBS12",0
"7316-2176.vcf.gz","SBS13",0
"7316-2176.vcf.gz","SBS14",0
"7316-2176.vcf.gz","SBS15",0
"7316-2176.vcf.gz","SBS16",0
"7316-2176.vcf.gz","SBS17a",29462.3971831136
"7316-2176.vcf.gz","SBS17b",0
"7316-2176.vcf.gz","SBS18",0
"7316-2176.vcf.gz","SBS19",47649.9823115039
"7316-2176.vcf.gz","SBS20",11256.2193746132
"7316-2176.vcf.gz","SBS21",0
"7316-2176.vcf.gz","SBS22",0
"7316-2176.vcf.gz","SBS23",0
"7316-2176.vcf.gz","SBS24",0
"7316-2176.vcf.gz","SBS25",0
"7316-2176.vcf.gz","SBS26",472532.623821925
"7316-2176.vcf.gz","SBS28",7800.91869168628
"7316-2176.vcf.gz","SBS29",0
"7316-2176.vcf.gz","SBS30",0
"7316-2176.vcf.gz","SBS31",0
"7316-2176.vcf.gz","SBS32",221803.105720572
"7316-2176.vcf.gz","SBS33",128304.245820703
"7316-2176.vcf.gz","SBS34",26908.8585242758
"7316-2176.vcf.gz","SBS35",0
"7316-2176.vcf.gz","SBS36",0
"7316-2176.vcf.gz","SBS37",24523.4481510763
"7316-2176.vcf.gz","SBS38",0
"7316-2176.vcf.gz","SBS39",87272.6177679903
"7316-2176.vcf.gz","SBS40",0
"7316-2176.vcf.gz","SBS41",0
"7316-2176.vcf.gz","SBS42",0
"7316-2176.vcf.gz","SBS44",3172.32578169038
"7316-2176.vcf.gz","SBS84",0
"7316-2176.vcf.gz","SBS85",9933.59822017206
"7316-2176.vcf.gz","SBS86",0
"7316-2176.vcf.gz","SBS87",90709.4979163685
"7316-2176.vcf.gz","SBS88",0
"7316-2176.vcf.gz","SBS89",246969.69515139
"7316-2176.vcf.gz","SBS90",420.755564471645
"7316-2176.vcf.gz","SBS91",0
"7316-2176.vcf.gz","SBS92",0
"7316-2176.vcf.gz","SBS93",0
"7316-2176.vcf.gz","SBS94",0
