"File","Signature","Contribution"
"7316-3771.vcf.gz","SBS1",360105.532875406
"7316-3771.vcf.gz","SBS2",11253.7887171018
"7316-3771.vcf.gz","SBS3",0
"7316-3771.vcf.gz","SBS4",0
"7316-3771.vcf.gz","SBS5",2240886.39516482
"7316-3771.vcf.gz","SBS6",0
"7316-3771.vcf.gz","SBS7a",0
"7316-3771.vcf.gz","SBS7b",0
"7316-3771.vcf.gz","SBS7c",9195.0832192928
"7316-3771.vcf.gz","SBS7d",0
"7316-3771.vcf.gz","SBS8",0
"7316-3771.vcf.gz","SBS9",72655.0911223821
"7316-3771.vcf.gz","SBS10a",0
"7316-3771.vcf.gz","SBS10b",0
"7316-3771.vcf.gz","SBS10c",0
"7316-3771.vcf.gz","SBS10d",0
"7316-3771.vcf.gz","SBS11",0
"7316-3771.vcf.gz","SBS12",0
"7316-3771.vcf.gz","SBS13",0
"7316-3771.vcf.gz","SBS14",0
"7316-3771.vcf.gz","SBS15",0
"7316-3771.vcf.gz","SBS16",0
"7316-3771.vcf.gz","SBS17a",28008.6445147078
"7316-3771.vcf.gz","SBS17b",0
"7316-3771.vcf.gz","SBS18",0
"7316-3771.vcf.gz","SBS19",47437.4538626495
"7316-3771.vcf.gz","SBS20",12828.0465845005
"7316-3771.vcf.gz","SBS21",0
"7316-3771.vcf.gz","SBS22",0
"7316-3771.vcf.gz","SBS23",0
"7316-3771.vcf.gz","SBS24",0
"7316-3771.vcf.gz","SBS25",0
"7316-3771.vcf.gz","SBS26",482522.654150263
"7316-3771.vcf.gz","SBS28",8638.84126881062
"7316-3771.vcf.gz","SBS29",0
"7316-3771.vcf.gz","SBS30",0
"7316-3771.vcf.gz","SBS31",0
"7316-3771.vcf.gz","SBS32",222664.285105916
"7316-3771.vcf.gz","SBS33",131286.309755246
"7316-3771.vcf.gz","SBS34",29453.5306389272
"7316-3771.vcf.gz","SBS35",0
"7316-3771.vcf.gz","SBS36",0
"7316-3771.vcf.gz","SBS37",22634.426216312
"7316-3771.vcf.gz","SBS38",0
"7316-3771.vcf.gz","SBS39",92265.642836138
"7316-3771.vcf.gz","SBS40",0
"7316-3771.vcf.gz","SBS41",0
"7316-3771.vcf.gz","SBS42",0
"7316-3771.vcf.gz","SBS44",209.912218578287
"7316-3771.vcf.gz","SBS84",0
"7316-3771.vcf.gz","SBS85",0
"7316-3771.vcf.gz","SBS86",0
"7316-3771.vcf.gz","SBS87",91703.090969454
"7316-3771.vcf.gz","SBS88",0
"7316-3771.vcf.gz","SBS89",232014.430667326
"7316-3771.vcf.gz","SBS90",243.117705820304
"7316-3771.vcf.gz","SBS91",0
"7316-3771.vcf.gz","SBS92",0
"7316-3771.vcf.gz","SBS93",0
"7316-3771.vcf.gz","SBS94",0
