"File","Signature","Contribution"
"7316-913.vcf.gz","SBS1",353432.077733257
"7316-913.vcf.gz","SBS2",12947.2643411309
"7316-913.vcf.gz","SBS3",0
"7316-913.vcf.gz","SBS4",0
"7316-913.vcf.gz","SBS5",2196377.82012107
"7316-913.vcf.gz","SBS6",0
"7316-913.vcf.gz","SBS7a",0
"7316-913.vcf.gz","SBS7b",0
"7316-913.vcf.gz","SBS7c",9704.8324663985
"7316-913.vcf.gz","SBS7d",0
"7316-913.vcf.gz","SBS8",0
"7316-913.vcf.gz","SBS9",66468.4982583508
"7316-913.vcf.gz","SBS10a",0
"7316-913.vcf.gz","SBS10b",0
"7316-913.vcf.gz","SBS10c",0
"7316-913.vcf.gz","SBS10d",0
"7316-913.vcf.gz","SBS11",0
"7316-913.vcf.gz","SBS12",0
"7316-913.vcf.gz","SBS13",0
"7316-913.vcf.gz","SBS14",0
"7316-913.vcf.gz","SBS15",0
"7316-913.vcf.gz","SBS16",0
"7316-913.vcf.gz","SBS17a",29644.5575560577
"7316-913.vcf.gz","SBS17b",0
"7316-913.vcf.gz","SBS18",0
"7316-913.vcf.gz","SBS19",47108.7167395961
"7316-913.vcf.gz","SBS20",12208.3670589957
"7316-913.vcf.gz","SBS21",0
"7316-913.vcf.gz","SBS22",0
"7316-913.vcf.gz","SBS23",0
"7316-913.vcf.gz","SBS24",0
"7316-913.vcf.gz","SBS25",0
"7316-913.vcf.gz","SBS26",467650.225568215
"7316-913.vcf.gz","SBS28",8004.65724933227
"7316-913.vcf.gz","SBS29",0
"7316-913.vcf.gz","SBS30",0
"7316-913.vcf.gz","SBS31",0
"7316-913.vcf.gz","SBS32",219432.86454474
"7316-913.vcf.gz","SBS33",128119.088632445
"7316-913.vcf.gz","SBS34",27030.9777950474
"7316-913.vcf.gz","SBS35",0
"7316-913.vcf.gz","SBS36",0
"7316-913.vcf.gz","SBS37",27728.6641005225
"7316-913.vcf.gz","SBS38",0
"7316-913.vcf.gz","SBS39",80304.6700471597
"7316-913.vcf.gz","SBS40",0
"7316-913.vcf.gz","SBS41",0
"7316-913.vcf.gz","SBS42",0
"7316-913.vcf.gz","SBS44",965.112887314837
"7316-913.vcf.gz","SBS84",0
"7316-913.vcf.gz","SBS85",10099.2200487675
"7316-913.vcf.gz","SBS86",0
"7316-913.vcf.gz","SBS87",88332.1739349485
"7316-913.vcf.gz","SBS88",0
"7316-913.vcf.gz","SBS89",247112.883965179
"7316-913.vcf.gz","SBS90",0
"7316-913.vcf.gz","SBS91",0
"7316-913.vcf.gz","SBS92",0
"7316-913.vcf.gz","SBS93",0
"7316-913.vcf.gz","SBS94",0
