"File","Signature","Contribution"
"7316-4942.vcf.gz","SBS1",356124.761489599
"7316-4942.vcf.gz","SBS2",13721.3849526661
"7316-4942.vcf.gz","SBS3",0
"7316-4942.vcf.gz","SBS4",0
"7316-4942.vcf.gz","SBS5",2212583.42255047
"7316-4942.vcf.gz","SBS6",0
"7316-4942.vcf.gz","SBS7a",0
"7316-4942.vcf.gz","SBS7b",0
"7316-4942.vcf.gz","SBS7c",7581.80182424721
"7316-4942.vcf.gz","SBS7d",0
"7316-4942.vcf.gz","SBS8",0
"7316-4942.vcf.gz","SBS9",77900.0541352529
"7316-4942.vcf.gz","SBS10a",0
"7316-4942.vcf.gz","SBS10b",0
"7316-4942.vcf.gz","SBS10c",0
"7316-4942.vcf.gz","SBS10d",0
"7316-4942.vcf.gz","SBS11",0
"7316-4942.vcf.gz","SBS12",0
"7316-4942.vcf.gz","SBS13",0
"7316-4942.vcf.gz","SBS14",0
"7316-4942.vcf.gz","SBS15",0
"7316-4942.vcf.gz","SBS16",0
"7316-4942.vcf.gz","SBS17a",29234.9943223654
"7316-4942.vcf.gz","SBS17b",0
"7316-4942.vcf.gz","SBS18",0
"7316-4942.vcf.gz","SBS19",47537.2697500657
"7316-4942.vcf.gz","SBS20",12186.3923402805
"7316-4942.vcf.gz","SBS21",0
"7316-4942.vcf.gz","SBS22",0
"7316-4942.vcf.gz","SBS23",0
"7316-4942.vcf.gz","SBS24",0
"7316-4942.vcf.gz","SBS25",0
"7316-4942.vcf.gz","SBS26",478116.290898969
"7316-4942.vcf.gz","SBS28",7175.57088765391
"7316-4942.vcf.gz","SBS29",0
"7316-4942.vcf.gz","SBS30",0
"7316-4942.vcf.gz","SBS31",0
"7316-4942.vcf.gz","SBS32",218878.25516873
"7316-4942.vcf.gz","SBS33",129230.669524149
"7316-4942.vcf.gz","SBS34",27139.1432440984
"7316-4942.vcf.gz","SBS35",0
"7316-4942.vcf.gz","SBS36",0
"7316-4942.vcf.gz","SBS37",13568.9293485626
"7316-4942.vcf.gz","SBS38",0
"7316-4942.vcf.gz","SBS39",90561.131700826
"7316-4942.vcf.gz","SBS40",0
"7316-4942.vcf.gz","SBS41",0
"7316-4942.vcf.gz","SBS42",0
"7316-4942.vcf.gz","SBS44",0
"7316-4942.vcf.gz","SBS84",0
"7316-4942.vcf.gz","SBS85",3848.38008250299
"7316-4942.vcf.gz","SBS86",0
"7316-4942.vcf.gz","SBS87",92552.6324700673
"7316-4942.vcf.gz","SBS88",0
"7316-4942.vcf.gz","SBS89",240601.431586898
"7316-4942.vcf.gz","SBS90",0
"7316-4942.vcf.gz","SBS91",0
"7316-4942.vcf.gz","SBS92",0
"7316-4942.vcf.gz","SBS93",0
"7316-4942.vcf.gz","SBS94",0
