"File","Signature","Contribution"
"7316-45.vcf.gz","SBS1",351942.021877858
"7316-45.vcf.gz","SBS2",12679.5748417086
"7316-45.vcf.gz","SBS3",0
"7316-45.vcf.gz","SBS4",0
"7316-45.vcf.gz","SBS5",2197461.56487844
"7316-45.vcf.gz","SBS6",0
"7316-45.vcf.gz","SBS7a",0
"7316-45.vcf.gz","SBS7b",0
"7316-45.vcf.gz","SBS7c",8340.78398843535
"7316-45.vcf.gz","SBS7d",0
"7316-45.vcf.gz","SBS8",0
"7316-45.vcf.gz","SBS9",65507.4783873831
"7316-45.vcf.gz","SBS10a",0
"7316-45.vcf.gz","SBS10b",0
"7316-45.vcf.gz","SBS10c",0
"7316-45.vcf.gz","SBS10d",0
"7316-45.vcf.gz","SBS11",0
"7316-45.vcf.gz","SBS12",0
"7316-45.vcf.gz","SBS13",0
"7316-45.vcf.gz","SBS14",0
"7316-45.vcf.gz","SBS15",0
"7316-45.vcf.gz","SBS16",0
"7316-45.vcf.gz","SBS17a",29382.6831423462
"7316-45.vcf.gz","SBS17b",0
"7316-45.vcf.gz","SBS18",0
"7316-45.vcf.gz","SBS19",48246.8935987351
"7316-45.vcf.gz","SBS20",12190.1189209393
"7316-45.vcf.gz","SBS21",0
"7316-45.vcf.gz","SBS22",0
"7316-45.vcf.gz","SBS23",0
"7316-45.vcf.gz","SBS24",0
"7316-45.vcf.gz","SBS25",0
"7316-45.vcf.gz","SBS26",467962.555912227
"7316-45.vcf.gz","SBS28",7937.78680786579
"7316-45.vcf.gz","SBS29",0
"7316-45.vcf.gz","SBS30",0
"7316-45.vcf.gz","SBS31",0
"7316-45.vcf.gz","SBS32",216038.791657713
"7316-45.vcf.gz","SBS33",127224.986399665
"7316-45.vcf.gz","SBS34",27419.7092685195
"7316-45.vcf.gz","SBS35",0
"7316-45.vcf.gz","SBS36",0
"7316-45.vcf.gz","SBS37",23458.2372087526
"7316-45.vcf.gz","SBS38",0
"7316-45.vcf.gz","SBS39",84081.8869711951
"7316-45.vcf.gz","SBS40",0
"7316-45.vcf.gz","SBS41",0
"7316-45.vcf.gz","SBS42",0
"7316-45.vcf.gz","SBS44",1677.19408418934
"7316-45.vcf.gz","SBS84",0
"7316-45.vcf.gz","SBS85",10491.5154138867
"7316-45.vcf.gz","SBS86",0
"7316-45.vcf.gz","SBS87",88546.7067041866
"7316-45.vcf.gz","SBS88",0
"7316-45.vcf.gz","SBS89",245985.952222395
"7316-45.vcf.gz","SBS90",0
"7316-45.vcf.gz","SBS91",0
"7316-45.vcf.gz","SBS92",0
"7316-45.vcf.gz","SBS93",0
"7316-45.vcf.gz","SBS94",0
