"File","Signature","Contribution"
"7316-4337.vcf.gz","SBS1",351056.049759322
"7316-4337.vcf.gz","SBS2",11952.1471891136
"7316-4337.vcf.gz","SBS3",0
"7316-4337.vcf.gz","SBS4",0
"7316-4337.vcf.gz","SBS5",2200498.29009373
"7316-4337.vcf.gz","SBS6",0
"7316-4337.vcf.gz","SBS7a",0
"7316-4337.vcf.gz","SBS7b",0
"7316-4337.vcf.gz","SBS7c",10022.8790837956
"7316-4337.vcf.gz","SBS7d",0
"7316-4337.vcf.gz","SBS8",0
"7316-4337.vcf.gz","SBS9",74344.4368787563
"7316-4337.vcf.gz","SBS10a",0
"7316-4337.vcf.gz","SBS10b",0
"7316-4337.vcf.gz","SBS10c",0
"7316-4337.vcf.gz","SBS10d",0
"7316-4337.vcf.gz","SBS11",0
"7316-4337.vcf.gz","SBS12",0
"7316-4337.vcf.gz","SBS13",0
"7316-4337.vcf.gz","SBS14",0
"7316-4337.vcf.gz","SBS15",0
"7316-4337.vcf.gz","SBS16",0
"7316-4337.vcf.gz","SBS17a",28895.122492668
"7316-4337.vcf.gz","SBS17b",0
"7316-4337.vcf.gz","SBS18",0
"7316-4337.vcf.gz","SBS19",47432.5063747713
"7316-4337.vcf.gz","SBS20",11817.7828091882
"7316-4337.vcf.gz","SBS21",0
"7316-4337.vcf.gz","SBS22",0
"7316-4337.vcf.gz","SBS23",0
"7316-4337.vcf.gz","SBS24",0
"7316-4337.vcf.gz","SBS25",0
"7316-4337.vcf.gz","SBS26",470706.022705306
"7316-4337.vcf.gz","SBS28",6806.29016537548
"7316-4337.vcf.gz","SBS29",0
"7316-4337.vcf.gz","SBS30",0
"7316-4337.vcf.gz","SBS31",0
"7316-4337.vcf.gz","SBS32",216361.407334862
"7316-4337.vcf.gz","SBS33",127366.920714493
"7316-4337.vcf.gz","SBS34",27955.4844469799
"7316-4337.vcf.gz","SBS35",0
"7316-4337.vcf.gz","SBS36",0
"7316-4337.vcf.gz","SBS37",21743.7435539071
"7316-4337.vcf.gz","SBS38",0
"7316-4337.vcf.gz","SBS39",89971.8386252598
"7316-4337.vcf.gz","SBS40",0
"7316-4337.vcf.gz","SBS41",0
"7316-4337.vcf.gz","SBS42",0
"7316-4337.vcf.gz","SBS44",5377.32056672734
"7316-4337.vcf.gz","SBS84",0
"7316-4337.vcf.gz","SBS85",0
"7316-4337.vcf.gz","SBS86",0
"7316-4337.vcf.gz","SBS87",88226.9052582841
"7316-4337.vcf.gz","SBS88",0
"7316-4337.vcf.gz","SBS89",228283.681465121
"7316-4337.vcf.gz","SBS90",97.1301341298864
"7316-4337.vcf.gz","SBS91",0
"7316-4337.vcf.gz","SBS92",0
"7316-4337.vcf.gz","SBS93",0
"7316-4337.vcf.gz","SBS94",0
