"File","Signature","Contribution"
"7316-4215.vcf.gz","SBS1",339680.180788274
"7316-4215.vcf.gz","SBS2",12604.6132307096
"7316-4215.vcf.gz","SBS3",0
"7316-4215.vcf.gz","SBS4",0
"7316-4215.vcf.gz","SBS5",2100132.37678698
"7316-4215.vcf.gz","SBS6",0
"7316-4215.vcf.gz","SBS7a",0
"7316-4215.vcf.gz","SBS7b",0
"7316-4215.vcf.gz","SBS7c",8715.26452850204
"7316-4215.vcf.gz","SBS7d",0
"7316-4215.vcf.gz","SBS8",0
"7316-4215.vcf.gz","SBS9",73296.3559129339
"7316-4215.vcf.gz","SBS10a",0
"7316-4215.vcf.gz","SBS10b",0
"7316-4215.vcf.gz","SBS10c",0
"7316-4215.vcf.gz","SBS10d",0
"7316-4215.vcf.gz","SBS11",0
"7316-4215.vcf.gz","SBS12",0
"7316-4215.vcf.gz","SBS13",0
"7316-4215.vcf.gz","SBS14",0
"7316-4215.vcf.gz","SBS15",0
"7316-4215.vcf.gz","SBS16",0
"7316-4215.vcf.gz","SBS17a",28429.4100553936
"7316-4215.vcf.gz","SBS17b",0
"7316-4215.vcf.gz","SBS18",0
"7316-4215.vcf.gz","SBS19",46123.3553630585
"7316-4215.vcf.gz","SBS20",11329.5396863898
"7316-4215.vcf.gz","SBS21",0
"7316-4215.vcf.gz","SBS22",0
"7316-4215.vcf.gz","SBS23",0
"7316-4215.vcf.gz","SBS24",0
"7316-4215.vcf.gz","SBS25",0
"7316-4215.vcf.gz","SBS26",460680.548314473
"7316-4215.vcf.gz","SBS28",7369.20447815047
"7316-4215.vcf.gz","SBS29",0
"7316-4215.vcf.gz","SBS30",0
"7316-4215.vcf.gz","SBS31",0
"7316-4215.vcf.gz","SBS32",209501.735357782
"7316-4215.vcf.gz","SBS33",125364.167513808
"7316-4215.vcf.gz","SBS34",26152.3641898828
"7316-4215.vcf.gz","SBS35",0
"7316-4215.vcf.gz","SBS36",0
"7316-4215.vcf.gz","SBS37",16432.6979947532
"7316-4215.vcf.gz","SBS38",0
"7316-4215.vcf.gz","SBS39",87220.8880532735
"7316-4215.vcf.gz","SBS40",0
"7316-4215.vcf.gz","SBS41",0
"7316-4215.vcf.gz","SBS42",0
"7316-4215.vcf.gz","SBS44",2262.66197776484
"7316-4215.vcf.gz","SBS84",0
"7316-4215.vcf.gz","SBS85",1357.57003861374
"7316-4215.vcf.gz","SBS86",0
"7316-4215.vcf.gz","SBS87",88610.0517490153
"7316-4215.vcf.gz","SBS88",0
"7316-4215.vcf.gz","SBS89",234688.735582808
"7316-4215.vcf.gz","SBS90",210.963536719572
"7316-4215.vcf.gz","SBS91",0
"7316-4215.vcf.gz","SBS92",0
"7316-4215.vcf.gz","SBS93",0
"7316-4215.vcf.gz","SBS94",0
