"File","Signature","Contribution"
"7316-4432.vcf.gz","SBS1",350851.851307955
"7316-4432.vcf.gz","SBS2",11923.0212456124
"7316-4432.vcf.gz","SBS3",0
"7316-4432.vcf.gz","SBS4",0
"7316-4432.vcf.gz","SBS5",2178654.12672038
"7316-4432.vcf.gz","SBS6",0
"7316-4432.vcf.gz","SBS7a",0
"7316-4432.vcf.gz","SBS7b",0
"7316-4432.vcf.gz","SBS7c",7712.20968900692
"7316-4432.vcf.gz","SBS7d",0
"7316-4432.vcf.gz","SBS8",0
"7316-4432.vcf.gz","SBS9",71463.1166159289
"7316-4432.vcf.gz","SBS10a",0
"7316-4432.vcf.gz","SBS10b",0
"7316-4432.vcf.gz","SBS10c",0
"7316-4432.vcf.gz","SBS10d",0
"7316-4432.vcf.gz","SBS11",0
"7316-4432.vcf.gz","SBS12",0
"7316-4432.vcf.gz","SBS13",0
"7316-4432.vcf.gz","SBS14",0
"7316-4432.vcf.gz","SBS15",0
"7316-4432.vcf.gz","SBS16",0
"7316-4432.vcf.gz","SBS17a",28174.6040277492
"7316-4432.vcf.gz","SBS17b",0
"7316-4432.vcf.gz","SBS18",0
"7316-4432.vcf.gz","SBS19",47783.9864395718
"7316-4432.vcf.gz","SBS20",13499.2570708333
"7316-4432.vcf.gz","SBS21",0
"7316-4432.vcf.gz","SBS22",0
"7316-4432.vcf.gz","SBS23",0
"7316-4432.vcf.gz","SBS24",0
"7316-4432.vcf.gz","SBS25",0
"7316-4432.vcf.gz","SBS26",474246.049193451
"7316-4432.vcf.gz","SBS28",8269.94408353836
"7316-4432.vcf.gz","SBS29",0
"7316-4432.vcf.gz","SBS30",0
"7316-4432.vcf.gz","SBS31",0
"7316-4432.vcf.gz","SBS32",216880.024149828
"7316-4432.vcf.gz","SBS33",128297.706168799
"7316-4432.vcf.gz","SBS34",28389.3404640006
"7316-4432.vcf.gz","SBS35",0
"7316-4432.vcf.gz","SBS36",0
"7316-4432.vcf.gz","SBS37",19480.348463897
"7316-4432.vcf.gz","SBS38",0
"7316-4432.vcf.gz","SBS39",98299.2714989469
"7316-4432.vcf.gz","SBS40",0
"7316-4432.vcf.gz","SBS41",0
"7316-4432.vcf.gz","SBS42",0
"7316-4432.vcf.gz","SBS44",0
"7316-4432.vcf.gz","SBS84",0
"7316-4432.vcf.gz","SBS85",0
"7316-4432.vcf.gz","SBS86",0
"7316-4432.vcf.gz","SBS87",87927.8161912965
"7316-4432.vcf.gz","SBS88",0
"7316-4432.vcf.gz","SBS89",215089.462710342
"7316-4432.vcf.gz","SBS90",430.893627289819
"7316-4432.vcf.gz","SBS91",0
"7316-4432.vcf.gz","SBS92",0
"7316-4432.vcf.gz","SBS93",0
"7316-4432.vcf.gz","SBS94",0
