"File","Signature","Contribution"
"7316-4678.vcf.gz","SBS1",348378.088834904
"7316-4678.vcf.gz","SBS2",11787.8711714522
"7316-4678.vcf.gz","SBS3",0
"7316-4678.vcf.gz","SBS4",0
"7316-4678.vcf.gz","SBS5",2181394.45320369
"7316-4678.vcf.gz","SBS6",0
"7316-4678.vcf.gz","SBS7a",0
"7316-4678.vcf.gz","SBS7b",0
"7316-4678.vcf.gz","SBS7c",10307.2676030835
"7316-4678.vcf.gz","SBS7d",0
"7316-4678.vcf.gz","SBS8",0
"7316-4678.vcf.gz","SBS9",71196.9999563415
"7316-4678.vcf.gz","SBS10a",0
"7316-4678.vcf.gz","SBS10b",0
"7316-4678.vcf.gz","SBS10c",0
"7316-4678.vcf.gz","SBS10d",0
"7316-4678.vcf.gz","SBS11",0
"7316-4678.vcf.gz","SBS12",0
"7316-4678.vcf.gz","SBS13",0
"7316-4678.vcf.gz","SBS14",0
"7316-4678.vcf.gz","SBS15",0
"7316-4678.vcf.gz","SBS16",0
"7316-4678.vcf.gz","SBS17a",29204.6428612895
"7316-4678.vcf.gz","SBS17b",0
"7316-4678.vcf.gz","SBS18",0
"7316-4678.vcf.gz","SBS19",45583.0861563551
"7316-4678.vcf.gz","SBS20",13880.8609518979
"7316-4678.vcf.gz","SBS21",0
"7316-4678.vcf.gz","SBS22",0
"7316-4678.vcf.gz","SBS23",0
"7316-4678.vcf.gz","SBS24",0
"7316-4678.vcf.gz","SBS25",0
"7316-4678.vcf.gz","SBS26",466257.351158473
"7316-4678.vcf.gz","SBS28",7867.78376023792
"7316-4678.vcf.gz","SBS29",0
"7316-4678.vcf.gz","SBS30",0
"7316-4678.vcf.gz","SBS31",0
"7316-4678.vcf.gz","SBS32",216798.903845823
"7316-4678.vcf.gz","SBS33",125827.889631954
"7316-4678.vcf.gz","SBS34",27628.3959424525
"7316-4678.vcf.gz","SBS35",0
"7316-4678.vcf.gz","SBS36",0
"7316-4678.vcf.gz","SBS37",20823.9605281403
"7316-4678.vcf.gz","SBS38",0
"7316-4678.vcf.gz","SBS39",89709.7649095004
"7316-4678.vcf.gz","SBS40",0
"7316-4678.vcf.gz","SBS41",0
"7316-4678.vcf.gz","SBS42",0
"7316-4678.vcf.gz","SBS44",669.323468669881
"7316-4678.vcf.gz","SBS84",0
"7316-4678.vcf.gz","SBS85",0
"7316-4678.vcf.gz","SBS86",0
"7316-4678.vcf.gz","SBS87",88863.8491477286
"7316-4678.vcf.gz","SBS88",0
"7316-4678.vcf.gz","SBS89",224868.755461149
"7316-4678.vcf.gz","SBS90",305.075235353426
"7316-4678.vcf.gz","SBS91",0
"7316-4678.vcf.gz","SBS92",0
"7316-4678.vcf.gz","SBS93",0
"7316-4678.vcf.gz","SBS94",0
