"File","Signature","Contribution"
"7316-71.vcf.gz","SBS1",353016.981498171
"7316-71.vcf.gz","SBS2",12814.1779107236
"7316-71.vcf.gz","SBS3",0
"7316-71.vcf.gz","SBS4",0
"7316-71.vcf.gz","SBS5",2197370.27889401
"7316-71.vcf.gz","SBS6",0
"7316-71.vcf.gz","SBS7a",0
"7316-71.vcf.gz","SBS7b",0
"7316-71.vcf.gz","SBS7c",9646.98165420464
"7316-71.vcf.gz","SBS7d",0
"7316-71.vcf.gz","SBS8",0
"7316-71.vcf.gz","SBS9",65396.6944707343
"7316-71.vcf.gz","SBS10a",0
"7316-71.vcf.gz","SBS10b",0
"7316-71.vcf.gz","SBS10c",0
"7316-71.vcf.gz","SBS10d",0
"7316-71.vcf.gz","SBS11",0
"7316-71.vcf.gz","SBS12",0
"7316-71.vcf.gz","SBS13",0
"7316-71.vcf.gz","SBS14",0
"7316-71.vcf.gz","SBS15",0
"7316-71.vcf.gz","SBS16",0
"7316-71.vcf.gz","SBS17a",29452.9690932813
"7316-71.vcf.gz","SBS17b",0
"7316-71.vcf.gz","SBS18",0
"7316-71.vcf.gz","SBS19",46735.1724642262
"7316-71.vcf.gz","SBS20",11175.128716775
"7316-71.vcf.gz","SBS21",0
"7316-71.vcf.gz","SBS22",0
"7316-71.vcf.gz","SBS23",0
"7316-71.vcf.gz","SBS24",0
"7316-71.vcf.gz","SBS25",0
"7316-71.vcf.gz","SBS26",468309.439341256
"7316-71.vcf.gz","SBS28",8096.43467970446
"7316-71.vcf.gz","SBS29",0
"7316-71.vcf.gz","SBS30",0
"7316-71.vcf.gz","SBS31",0
"7316-71.vcf.gz","SBS32",219463.078001698
"7316-71.vcf.gz","SBS33",128809.028227788
"7316-71.vcf.gz","SBS34",27995.2103740195
"7316-71.vcf.gz","SBS35",0
"7316-71.vcf.gz","SBS36",0
"7316-71.vcf.gz","SBS37",29162.2503789663
"7316-71.vcf.gz","SBS38",0
"7316-71.vcf.gz","SBS39",83905.6019475505
"7316-71.vcf.gz","SBS40",0
"7316-71.vcf.gz","SBS41",0
"7316-71.vcf.gz","SBS42",0
"7316-71.vcf.gz","SBS44",362.761004765399
"7316-71.vcf.gz","SBS84",0
"7316-71.vcf.gz","SBS85",4837.42809685217
"7316-71.vcf.gz","SBS86",0
"7316-71.vcf.gz","SBS87",90005.6728393544
"7316-71.vcf.gz","SBS88",0
"7316-71.vcf.gz","SBS89",242445.783691588
"7316-71.vcf.gz","SBS90",94.1690953253179
"7316-71.vcf.gz","SBS91",0
"7316-71.vcf.gz","SBS92",0
"7316-71.vcf.gz","SBS93",0
"7316-71.vcf.gz","SBS94",0
