"File","Signature","Contribution"
"7316-2151.vcf.gz","SBS1",365124.495216966
"7316-2151.vcf.gz","SBS2",13066.050104092
"7316-2151.vcf.gz","SBS3",0
"7316-2151.vcf.gz","SBS4",0
"7316-2151.vcf.gz","SBS5",2266537.80698891
"7316-2151.vcf.gz","SBS6",0
"7316-2151.vcf.gz","SBS7a",0
"7316-2151.vcf.gz","SBS7b",0
"7316-2151.vcf.gz","SBS7c",7974.73725361349
"7316-2151.vcf.gz","SBS7d",0
"7316-2151.vcf.gz","SBS8",0
"7316-2151.vcf.gz","SBS9",67588.7296056108
"7316-2151.vcf.gz","SBS10a",0
"7316-2151.vcf.gz","SBS10b",0
"7316-2151.vcf.gz","SBS10c",0
"7316-2151.vcf.gz","SBS10d",0
"7316-2151.vcf.gz","SBS11",0
"7316-2151.vcf.gz","SBS12",0
"7316-2151.vcf.gz","SBS13",0
"7316-2151.vcf.gz","SBS14",0
"7316-2151.vcf.gz","SBS15",0
"7316-2151.vcf.gz","SBS16",0
"7316-2151.vcf.gz","SBS17a",30154.8712221688
"7316-2151.vcf.gz","SBS17b",0
"7316-2151.vcf.gz","SBS18",0
"7316-2151.vcf.gz","SBS19",48620.6026035325
"7316-2151.vcf.gz","SBS20",11826.9321906995
"7316-2151.vcf.gz","SBS21",0
"7316-2151.vcf.gz","SBS22",0
"7316-2151.vcf.gz","SBS23",0
"7316-2151.vcf.gz","SBS24",0
"7316-2151.vcf.gz","SBS25",0
"7316-2151.vcf.gz","SBS26",483221.814640087
"7316-2151.vcf.gz","SBS28",8417.06956263469
"7316-2151.vcf.gz","SBS29",0
"7316-2151.vcf.gz","SBS30",0
"7316-2151.vcf.gz","SBS31",0
"7316-2151.vcf.gz","SBS32",223378.550203508
"7316-2151.vcf.gz","SBS33",131807.287623899
"7316-2151.vcf.gz","SBS34",27218.2531683564
"7316-2151.vcf.gz","SBS35",0
"7316-2151.vcf.gz","SBS36",0
"7316-2151.vcf.gz","SBS37",23003.8548915369
"7316-2151.vcf.gz","SBS38",0
"7316-2151.vcf.gz","SBS39",86418.3886553691
"7316-2151.vcf.gz","SBS40",0
"7316-2151.vcf.gz","SBS41",0
"7316-2151.vcf.gz","SBS42",0
"7316-2151.vcf.gz","SBS44",156.12763198473
"7316-2151.vcf.gz","SBS84",0
"7316-2151.vcf.gz","SBS85",16026.1199176937
"7316-2151.vcf.gz","SBS86",0
"7316-2151.vcf.gz","SBS87",94249.2475068812
"7316-2151.vcf.gz","SBS88",0
"7316-2151.vcf.gz","SBS89",255381.637396044
"7316-2151.vcf.gz","SBS90",0
"7316-2151.vcf.gz","SBS91",0
"7316-2151.vcf.gz","SBS92",0
"7316-2151.vcf.gz","SBS93",0
"7316-2151.vcf.gz","SBS94",0
