"File","Signature","Contribution"
"7316-2784.vcf.gz","SBS1",352167.033163504
"7316-2784.vcf.gz","SBS2",11670.8097685483
"7316-2784.vcf.gz","SBS3",0
"7316-2784.vcf.gz","SBS4",0
"7316-2784.vcf.gz","SBS5",2182359.57027867
"7316-2784.vcf.gz","SBS6",0
"7316-2784.vcf.gz","SBS7a",0
"7316-2784.vcf.gz","SBS7b",0
"7316-2784.vcf.gz","SBS7c",9297.59673797459
"7316-2784.vcf.gz","SBS7d",0
"7316-2784.vcf.gz","SBS8",0
"7316-2784.vcf.gz","SBS9",75296.2436027185
"7316-2784.vcf.gz","SBS10a",0
"7316-2784.vcf.gz","SBS10b",0
"7316-2784.vcf.gz","SBS10c",0
"7316-2784.vcf.gz","SBS10d",0
"7316-2784.vcf.gz","SBS11",0
"7316-2784.vcf.gz","SBS12",0
"7316-2784.vcf.gz","SBS13",0
"7316-2784.vcf.gz","SBS14",0
"7316-2784.vcf.gz","SBS15",0
"7316-2784.vcf.gz","SBS16",0
"7316-2784.vcf.gz","SBS17a",26819.7435536765
"7316-2784.vcf.gz","SBS17b",0
"7316-2784.vcf.gz","SBS18",0
"7316-2784.vcf.gz","SBS19",45050.1079255807
"7316-2784.vcf.gz","SBS20",11630.865650413
"7316-2784.vcf.gz","SBS21",0
"7316-2784.vcf.gz","SBS22",0
"7316-2784.vcf.gz","SBS23",0
"7316-2784.vcf.gz","SBS24",0
"7316-2784.vcf.gz","SBS25",0
"7316-2784.vcf.gz","SBS26",475069.232503405
"7316-2784.vcf.gz","SBS28",8404.25371590852
"7316-2784.vcf.gz","SBS29",0
"7316-2784.vcf.gz","SBS30",0
"7316-2784.vcf.gz","SBS31",0
"7316-2784.vcf.gz","SBS32",215320.636583348
"7316-2784.vcf.gz","SBS33",127874.137041402
"7316-2784.vcf.gz","SBS34",27772.5096603304
"7316-2784.vcf.gz","SBS35",0
"7316-2784.vcf.gz","SBS36",0
"7316-2784.vcf.gz","SBS37",21016.0874201065
"7316-2784.vcf.gz","SBS38",0
"7316-2784.vcf.gz","SBS39",92082.1144109099
"7316-2784.vcf.gz","SBS40",0
"7316-2784.vcf.gz","SBS41",0
"7316-2784.vcf.gz","SBS42",0
"7316-2784.vcf.gz","SBS44",0
"7316-2784.vcf.gz","SBS84",0
"7316-2784.vcf.gz","SBS85",0
"7316-2784.vcf.gz","SBS86",0
"7316-2784.vcf.gz","SBS87",87743.7057472607
"7316-2784.vcf.gz","SBS88",0
"7316-2784.vcf.gz","SBS89",229121.216325388
"7316-2784.vcf.gz","SBS90",357.078333988556
"7316-2784.vcf.gz","SBS91",0
"7316-2784.vcf.gz","SBS92",0
"7316-2784.vcf.gz","SBS93",0
"7316-2784.vcf.gz","SBS94",0
