"File","Signature","Contribution"
"7316-3935.vcf.gz","SBS1",359654.770376148
"7316-3935.vcf.gz","SBS2",11431.266961827
"7316-3935.vcf.gz","SBS3",0
"7316-3935.vcf.gz","SBS4",0
"7316-3935.vcf.gz","SBS5",2245557.80759001
"7316-3935.vcf.gz","SBS6",0
"7316-3935.vcf.gz","SBS7a",0
"7316-3935.vcf.gz","SBS7b",0
"7316-3935.vcf.gz","SBS7c",8791.86433783662
"7316-3935.vcf.gz","SBS7d",0
"7316-3935.vcf.gz","SBS8",0
"7316-3935.vcf.gz","SBS9",73351.3840003545
"7316-3935.vcf.gz","SBS10a",0
"7316-3935.vcf.gz","SBS10b",0
"7316-3935.vcf.gz","SBS10c",0
"7316-3935.vcf.gz","SBS10d",0
"7316-3935.vcf.gz","SBS11",0
"7316-3935.vcf.gz","SBS12",0
"7316-3935.vcf.gz","SBS13",0
"7316-3935.vcf.gz","SBS14",0
"7316-3935.vcf.gz","SBS15",0
"7316-3935.vcf.gz","SBS16",0
"7316-3935.vcf.gz","SBS17a",27432.6375318322
"7316-3935.vcf.gz","SBS17b",0
"7316-3935.vcf.gz","SBS18",0
"7316-3935.vcf.gz","SBS19",46233.3632203617
"7316-3935.vcf.gz","SBS20",13069.0742974917
"7316-3935.vcf.gz","SBS21",0
"7316-3935.vcf.gz","SBS22",0
"7316-3935.vcf.gz","SBS23",0
"7316-3935.vcf.gz","SBS24",0
"7316-3935.vcf.gz","SBS25",0
"7316-3935.vcf.gz","SBS26",476446.231368982
"7316-3935.vcf.gz","SBS28",8093.8269068124
"7316-3935.vcf.gz","SBS29",0
"7316-3935.vcf.gz","SBS30",0
"7316-3935.vcf.gz","SBS31",0
"7316-3935.vcf.gz","SBS32",220051.056755125
"7316-3935.vcf.gz","SBS33",129492.260217883
"7316-3935.vcf.gz","SBS34",28068.0437960989
"7316-3935.vcf.gz","SBS35",0
"7316-3935.vcf.gz","SBS36",0
"7316-3935.vcf.gz","SBS37",23455.111946323
"7316-3935.vcf.gz","SBS38",0
"7316-3935.vcf.gz","SBS39",87529.1526818509
"7316-3935.vcf.gz","SBS40",0
"7316-3935.vcf.gz","SBS41",0
"7316-3935.vcf.gz","SBS42",0
"7316-3935.vcf.gz","SBS44",0
"7316-3935.vcf.gz","SBS84",0
"7316-3935.vcf.gz","SBS85",0
"7316-3935.vcf.gz","SBS86",0
"7316-3935.vcf.gz","SBS87",89468.531907359
"7316-3935.vcf.gz","SBS88",0
"7316-3935.vcf.gz","SBS89",225610.862341038
"7316-3935.vcf.gz","SBS90",942.717947195399
"7316-3935.vcf.gz","SBS91",0
"7316-3935.vcf.gz","SBS92",0
"7316-3935.vcf.gz","SBS93",0
"7316-3935.vcf.gz","SBS94",0
