"File","Signature","Contribution"
"7316-4466.vcf.gz","SBS1",347286.808678941
"7316-4466.vcf.gz","SBS2",13977.3531587265
"7316-4466.vcf.gz","SBS3",0
"7316-4466.vcf.gz","SBS4",0
"7316-4466.vcf.gz","SBS5",2167342.11296481
"7316-4466.vcf.gz","SBS6",0
"7316-4466.vcf.gz","SBS7a",0
"7316-4466.vcf.gz","SBS7b",0
"7316-4466.vcf.gz","SBS7c",8561.23888304188
"7316-4466.vcf.gz","SBS7d",0
"7316-4466.vcf.gz","SBS8",0
"7316-4466.vcf.gz","SBS9",77166.7320847759
"7316-4466.vcf.gz","SBS10a",0
"7316-4466.vcf.gz","SBS10b",0
"7316-4466.vcf.gz","SBS10c",0
"7316-4466.vcf.gz","SBS10d",0
"7316-4466.vcf.gz","SBS11",0
"7316-4466.vcf.gz","SBS12",0
"7316-4466.vcf.gz","SBS13",0
"7316-4466.vcf.gz","SBS14",0
"7316-4466.vcf.gz","SBS15",0
"7316-4466.vcf.gz","SBS16",0
"7316-4466.vcf.gz","SBS17a",28837.4793264182
"7316-4466.vcf.gz","SBS17b",0
"7316-4466.vcf.gz","SBS18",0
"7316-4466.vcf.gz","SBS19",46855.7002549127
"7316-4466.vcf.gz","SBS20",13140.1246716736
"7316-4466.vcf.gz","SBS21",0
"7316-4466.vcf.gz","SBS22",0
"7316-4466.vcf.gz","SBS23",0
"7316-4466.vcf.gz","SBS24",0
"7316-4466.vcf.gz","SBS25",0
"7316-4466.vcf.gz","SBS26",466590.564757413
"7316-4466.vcf.gz","SBS28",6677.3960195706
"7316-4466.vcf.gz","SBS29",0
"7316-4466.vcf.gz","SBS30",0
"7316-4466.vcf.gz","SBS31",0
"7316-4466.vcf.gz","SBS32",215756.209217493
"7316-4466.vcf.gz","SBS33",125927.919239911
"7316-4466.vcf.gz","SBS34",27099.3113777505
"7316-4466.vcf.gz","SBS35",0
"7316-4466.vcf.gz","SBS36",0
"7316-4466.vcf.gz","SBS37",18122.6514400234
"7316-4466.vcf.gz","SBS38",0
"7316-4466.vcf.gz","SBS39",90391.4926073385
"7316-4466.vcf.gz","SBS40",0
"7316-4466.vcf.gz","SBS41",0
"7316-4466.vcf.gz","SBS42",0
"7316-4466.vcf.gz","SBS44",0
"7316-4466.vcf.gz","SBS84",0
"7316-4466.vcf.gz","SBS85",0
"7316-4466.vcf.gz","SBS86",0
"7316-4466.vcf.gz","SBS87",87799.6519359985
"7316-4466.vcf.gz","SBS88",0
"7316-4466.vcf.gz","SBS89",233981.088640423
"7316-4466.vcf.gz","SBS90",0
"7316-4466.vcf.gz","SBS91",0
"7316-4466.vcf.gz","SBS92",0
"7316-4466.vcf.gz","SBS93",0
"7316-4466.vcf.gz","SBS94",0
