"File","Signature","Contribution"
"7316-3030.vcf.gz","SBS1",370369.192397718
"7316-3030.vcf.gz","SBS2",12728.7627641364
"7316-3030.vcf.gz","SBS3",0
"7316-3030.vcf.gz","SBS4",0
"7316-3030.vcf.gz","SBS5",2305230.93884089
"7316-3030.vcf.gz","SBS6",0
"7316-3030.vcf.gz","SBS7a",0
"7316-3030.vcf.gz","SBS7b",0
"7316-3030.vcf.gz","SBS7c",7998.75112208368
"7316-3030.vcf.gz","SBS7d",0
"7316-3030.vcf.gz","SBS8",0
"7316-3030.vcf.gz","SBS9",69928.8691507933
"7316-3030.vcf.gz","SBS10a",0
"7316-3030.vcf.gz","SBS10b",0
"7316-3030.vcf.gz","SBS10c",0
"7316-3030.vcf.gz","SBS10d",0
"7316-3030.vcf.gz","SBS11",0
"7316-3030.vcf.gz","SBS12",0
"7316-3030.vcf.gz","SBS13",0
"7316-3030.vcf.gz","SBS14",0
"7316-3030.vcf.gz","SBS15",0
"7316-3030.vcf.gz","SBS16",0
"7316-3030.vcf.gz","SBS17a",29322.048254839
"7316-3030.vcf.gz","SBS17b",0
"7316-3030.vcf.gz","SBS18",0
"7316-3030.vcf.gz","SBS19",48825.2585804301
"7316-3030.vcf.gz","SBS20",12523.3641711425
"7316-3030.vcf.gz","SBS21",0
"7316-3030.vcf.gz","SBS22",0
"7316-3030.vcf.gz","SBS23",0
"7316-3030.vcf.gz","SBS24",0
"7316-3030.vcf.gz","SBS25",0
"7316-3030.vcf.gz","SBS26",486742.788326151
"7316-3030.vcf.gz","SBS28",8502.80177434157
"7316-3030.vcf.gz","SBS29",0
"7316-3030.vcf.gz","SBS30",0
"7316-3030.vcf.gz","SBS31",0
"7316-3030.vcf.gz","SBS32",224336.649884401
"7316-3030.vcf.gz","SBS33",133142.289893766
"7316-3030.vcf.gz","SBS34",27663.0337284942
"7316-3030.vcf.gz","SBS35",0
"7316-3030.vcf.gz","SBS36",0
"7316-3030.vcf.gz","SBS37",24339.1339188668
"7316-3030.vcf.gz","SBS38",0
"7316-3030.vcf.gz","SBS39",86227.3959700158
"7316-3030.vcf.gz","SBS40",0
"7316-3030.vcf.gz","SBS41",0
"7316-3030.vcf.gz","SBS42",0
"7316-3030.vcf.gz","SBS44",673.914409826745
"7316-3030.vcf.gz","SBS84",0
"7316-3030.vcf.gz","SBS85",12373.7738132193
"7316-3030.vcf.gz","SBS86",0
"7316-3030.vcf.gz","SBS87",91634.4317910445
"7316-3030.vcf.gz","SBS88",0
"7316-3030.vcf.gz","SBS89",253557.642095155
"7316-3030.vcf.gz","SBS90",6.17661453600164
"7316-3030.vcf.gz","SBS91",0
"7316-3030.vcf.gz","SBS92",0
"7316-3030.vcf.gz","SBS93",0
"7316-3030.vcf.gz","SBS94",0
