"File","Signature","Contribution"
"7316-5087.vcf.gz","SBS1",347943.53593761
"7316-5087.vcf.gz","SBS2",13041.4983706483
"7316-5087.vcf.gz","SBS3",0
"7316-5087.vcf.gz","SBS4",0
"7316-5087.vcf.gz","SBS5",2168792.66584152
"7316-5087.vcf.gz","SBS6",0
"7316-5087.vcf.gz","SBS7a",0
"7316-5087.vcf.gz","SBS7b",0
"7316-5087.vcf.gz","SBS7c",8372.31559993308
"7316-5087.vcf.gz","SBS7d",0
"7316-5087.vcf.gz","SBS8",0
"7316-5087.vcf.gz","SBS9",75986.9634905704
"7316-5087.vcf.gz","SBS10a",0
"7316-5087.vcf.gz","SBS10b",0
"7316-5087.vcf.gz","SBS10c",0
"7316-5087.vcf.gz","SBS10d",0
"7316-5087.vcf.gz","SBS11",0
"7316-5087.vcf.gz","SBS12",0
"7316-5087.vcf.gz","SBS13",0
"7316-5087.vcf.gz","SBS14",0
"7316-5087.vcf.gz","SBS15",0
"7316-5087.vcf.gz","SBS16",0
"7316-5087.vcf.gz","SBS17a",28849.8299336609
"7316-5087.vcf.gz","SBS17b",0
"7316-5087.vcf.gz","SBS18",0
"7316-5087.vcf.gz","SBS19",47139.3041254546
"7316-5087.vcf.gz","SBS20",12561.3025754126
"7316-5087.vcf.gz","SBS21",0
"7316-5087.vcf.gz","SBS22",0
"7316-5087.vcf.gz","SBS23",0
"7316-5087.vcf.gz","SBS24",0
"7316-5087.vcf.gz","SBS25",0
"7316-5087.vcf.gz","SBS26",464025.909226942
"7316-5087.vcf.gz","SBS28",7258.24973207711
"7316-5087.vcf.gz","SBS29",0
"7316-5087.vcf.gz","SBS30",0
"7316-5087.vcf.gz","SBS31",0
"7316-5087.vcf.gz","SBS32",216260.466624109
"7316-5087.vcf.gz","SBS33",126785.887496751
"7316-5087.vcf.gz","SBS34",27738.2743541831
"7316-5087.vcf.gz","SBS35",0
"7316-5087.vcf.gz","SBS36",0
"7316-5087.vcf.gz","SBS37",20658.1022410398
"7316-5087.vcf.gz","SBS38",0
"7316-5087.vcf.gz","SBS39",89835.2189316125
"7316-5087.vcf.gz","SBS40",0
"7316-5087.vcf.gz","SBS41",0
"7316-5087.vcf.gz","SBS42",0
"7316-5087.vcf.gz","SBS44",53.94057254761
"7316-5087.vcf.gz","SBS84",0
"7316-5087.vcf.gz","SBS85",460.161621381539
"7316-5087.vcf.gz","SBS86",0
"7316-5087.vcf.gz","SBS87",89742.4861290687
"7316-5087.vcf.gz","SBS88",0
"7316-5087.vcf.gz","SBS89",235417.649592393
"7316-5087.vcf.gz","SBS90",0
"7316-5087.vcf.gz","SBS91",0
"7316-5087.vcf.gz","SBS92",0
"7316-5087.vcf.gz","SBS93",0
"7316-5087.vcf.gz","SBS94",0
