"File","Signature","Contribution"
"7316-339.vcf.gz","SBS1",355132.793803023
"7316-339.vcf.gz","SBS2",12464.8726607963
"7316-339.vcf.gz","SBS3",0
"7316-339.vcf.gz","SBS4",0
"7316-339.vcf.gz","SBS5",2209966.09278181
"7316-339.vcf.gz","SBS6",0
"7316-339.vcf.gz","SBS7a",0
"7316-339.vcf.gz","SBS7b",0
"7316-339.vcf.gz","SBS7c",8383.1874361862
"7316-339.vcf.gz","SBS7d",0
"7316-339.vcf.gz","SBS8",0
"7316-339.vcf.gz","SBS9",68382.1017833663
"7316-339.vcf.gz","SBS10a",0
"7316-339.vcf.gz","SBS10b",0
"7316-339.vcf.gz","SBS10c",0
"7316-339.vcf.gz","SBS10d",0
"7316-339.vcf.gz","SBS11",0
"7316-339.vcf.gz","SBS12",0
"7316-339.vcf.gz","SBS13",0
"7316-339.vcf.gz","SBS14",0
"7316-339.vcf.gz","SBS15",0
"7316-339.vcf.gz","SBS16",0
"7316-339.vcf.gz","SBS17a",28350.6356055014
"7316-339.vcf.gz","SBS17b",0
"7316-339.vcf.gz","SBS18",0
"7316-339.vcf.gz","SBS19",46020.8895295273
"7316-339.vcf.gz","SBS20",11780.2236827006
"7316-339.vcf.gz","SBS21",0
"7316-339.vcf.gz","SBS22",0
"7316-339.vcf.gz","SBS23",0
"7316-339.vcf.gz","SBS24",0
"7316-339.vcf.gz","SBS25",0
"7316-339.vcf.gz","SBS26",468507.160546229
"7316-339.vcf.gz","SBS28",7789.83643960113
"7316-339.vcf.gz","SBS29",0
"7316-339.vcf.gz","SBS30",0
"7316-339.vcf.gz","SBS31",0
"7316-339.vcf.gz","SBS32",219332.770746759
"7316-339.vcf.gz","SBS33",127880.242341352
"7316-339.vcf.gz","SBS34",26822.2348322152
"7316-339.vcf.gz","SBS35",0
"7316-339.vcf.gz","SBS36",0
"7316-339.vcf.gz","SBS37",25463.2720165416
"7316-339.vcf.gz","SBS38",0
"7316-339.vcf.gz","SBS39",83425.6395735779
"7316-339.vcf.gz","SBS40",0
"7316-339.vcf.gz","SBS41",0
"7316-339.vcf.gz","SBS42",0
"7316-339.vcf.gz","SBS44",0
"7316-339.vcf.gz","SBS84",0
"7316-339.vcf.gz","SBS85",10717.4069665679
"7316-339.vcf.gz","SBS86",0
"7316-339.vcf.gz","SBS87",86250.3251977121
"7316-339.vcf.gz","SBS88",0
"7316-339.vcf.gz","SBS89",239332.318856844
"7316-339.vcf.gz","SBS90",382.800452286621
"7316-339.vcf.gz","SBS91",0
"7316-339.vcf.gz","SBS92",0
"7316-339.vcf.gz","SBS93",0
"7316-339.vcf.gz","SBS94",0
