"File","Signature","Contribution"
"7316-3026.vcf.gz","SBS1",352671.980748781
"7316-3026.vcf.gz","SBS2",11694.0092619528
"7316-3026.vcf.gz","SBS3",0
"7316-3026.vcf.gz","SBS4",0
"7316-3026.vcf.gz","SBS5",2215733.49808157
"7316-3026.vcf.gz","SBS6",0
"7316-3026.vcf.gz","SBS7a",0
"7316-3026.vcf.gz","SBS7b",0
"7316-3026.vcf.gz","SBS7c",10152.6248172688
"7316-3026.vcf.gz","SBS7d",0
"7316-3026.vcf.gz","SBS8",0
"7316-3026.vcf.gz","SBS9",71484.8937073287
"7316-3026.vcf.gz","SBS10a",0
"7316-3026.vcf.gz","SBS10b",0
"7316-3026.vcf.gz","SBS10c",0
"7316-3026.vcf.gz","SBS10d",0
"7316-3026.vcf.gz","SBS11",0
"7316-3026.vcf.gz","SBS12",0
"7316-3026.vcf.gz","SBS13",0
"7316-3026.vcf.gz","SBS14",0
"7316-3026.vcf.gz","SBS15",0
"7316-3026.vcf.gz","SBS16",0
"7316-3026.vcf.gz","SBS17a",27165.3616236485
"7316-3026.vcf.gz","SBS17b",0
"7316-3026.vcf.gz","SBS18",0
"7316-3026.vcf.gz","SBS19",45714.7443668244
"7316-3026.vcf.gz","SBS20",12968.0759356911
"7316-3026.vcf.gz","SBS21",0
"7316-3026.vcf.gz","SBS22",0
"7316-3026.vcf.gz","SBS23",0
"7316-3026.vcf.gz","SBS24",0
"7316-3026.vcf.gz","SBS25",0
"7316-3026.vcf.gz","SBS26",469010.145104492
"7316-3026.vcf.gz","SBS28",8264.80199866012
"7316-3026.vcf.gz","SBS29",0
"7316-3026.vcf.gz","SBS30",0
"7316-3026.vcf.gz","SBS31",0
"7316-3026.vcf.gz","SBS32",218994.872072917
"7316-3026.vcf.gz","SBS33",129031.004166906
"7316-3026.vcf.gz","SBS34",27885.8259177978
"7316-3026.vcf.gz","SBS35",0
"7316-3026.vcf.gz","SBS36",0
"7316-3026.vcf.gz","SBS37",25026.820247881
"7316-3026.vcf.gz","SBS38",0
"7316-3026.vcf.gz","SBS39",87674.4245893897
"7316-3026.vcf.gz","SBS40",0
"7316-3026.vcf.gz","SBS41",0
"7316-3026.vcf.gz","SBS42",0
"7316-3026.vcf.gz","SBS44",2.6647418412172
"7316-3026.vcf.gz","SBS84",0
"7316-3026.vcf.gz","SBS85",0
"7316-3026.vcf.gz","SBS86",0
"7316-3026.vcf.gz","SBS87",87307.3670796278
"7316-3026.vcf.gz","SBS88",0
"7316-3026.vcf.gz","SBS89",225389.428488204
"7316-3026.vcf.gz","SBS90",500.649548418028
"7316-3026.vcf.gz","SBS91",0
"7316-3026.vcf.gz","SBS92",0
"7316-3026.vcf.gz","SBS93",0
"7316-3026.vcf.gz","SBS94",0
