"File","Signature","Contribution"
"7316-161.vcf.gz","SBS1",404748.25959916
"7316-161.vcf.gz","SBS2",12765.4305395683
"7316-161.vcf.gz","SBS3",0
"7316-161.vcf.gz","SBS4",0
"7316-161.vcf.gz","SBS5",2512845.00461174
"7316-161.vcf.gz","SBS6",0
"7316-161.vcf.gz","SBS7a",0
"7316-161.vcf.gz","SBS7b",0
"7316-161.vcf.gz","SBS7c",9237.69364303272
"7316-161.vcf.gz","SBS7d",0
"7316-161.vcf.gz","SBS8",0
"7316-161.vcf.gz","SBS9",74711.7295302324
"7316-161.vcf.gz","SBS10a",0
"7316-161.vcf.gz","SBS10b",0
"7316-161.vcf.gz","SBS10c",0
"7316-161.vcf.gz","SBS10d",0
"7316-161.vcf.gz","SBS11",0
"7316-161.vcf.gz","SBS12",0
"7316-161.vcf.gz","SBS13",0
"7316-161.vcf.gz","SBS14",0
"7316-161.vcf.gz","SBS15",0
"7316-161.vcf.gz","SBS16",0
"7316-161.vcf.gz","SBS17a",32445.4022718593
"7316-161.vcf.gz","SBS17b",0
"7316-161.vcf.gz","SBS18",0
"7316-161.vcf.gz","SBS19",52974.7761486219
"7316-161.vcf.gz","SBS20",12052.1946149979
"7316-161.vcf.gz","SBS21",0
"7316-161.vcf.gz","SBS22",0
"7316-161.vcf.gz","SBS23",0
"7316-161.vcf.gz","SBS24",0
"7316-161.vcf.gz","SBS25",0
"7316-161.vcf.gz","SBS26",528143.590235197
"7316-161.vcf.gz","SBS28",8975.42332441603
"7316-161.vcf.gz","SBS29",0
"7316-161.vcf.gz","SBS30",0
"7316-161.vcf.gz","SBS31",0
"7316-161.vcf.gz","SBS32",238219.055556862
"7316-161.vcf.gz","SBS33",143127.448452097
"7316-161.vcf.gz","SBS34",29651.7709777025
"7316-161.vcf.gz","SBS35",0
"7316-161.vcf.gz","SBS36",0
"7316-161.vcf.gz","SBS37",23234.8711215586
"7316-161.vcf.gz","SBS38",0
"7316-161.vcf.gz","SBS39",93433.0388651416
"7316-161.vcf.gz","SBS40",0
"7316-161.vcf.gz","SBS41",0
"7316-161.vcf.gz","SBS42",0
"7316-161.vcf.gz","SBS44",0
"7316-161.vcf.gz","SBS84",0
"7316-161.vcf.gz","SBS85",10222.8676133438
"7316-161.vcf.gz","SBS86",0
"7316-161.vcf.gz","SBS87",100335.123730803
"7316-161.vcf.gz","SBS88",0
"7316-161.vcf.gz","SBS89",267089.374026879
"7316-161.vcf.gz","SBS90",0
"7316-161.vcf.gz","SBS91",0
"7316-161.vcf.gz","SBS92",0
"7316-161.vcf.gz","SBS93",0
"7316-161.vcf.gz","SBS94",0
