"File","Signature","Contribution"
"7316-409.vcf.gz","SBS1",352725.341151956
"7316-409.vcf.gz","SBS2",12949.511591882
"7316-409.vcf.gz","SBS3",0
"7316-409.vcf.gz","SBS4",0
"7316-409.vcf.gz","SBS5",2206801.58643701
"7316-409.vcf.gz","SBS6",0
"7316-409.vcf.gz","SBS7a",0
"7316-409.vcf.gz","SBS7b",0
"7316-409.vcf.gz","SBS7c",7715.05678554184
"7316-409.vcf.gz","SBS7d",0
"7316-409.vcf.gz","SBS8",0
"7316-409.vcf.gz","SBS9",64352.519483224
"7316-409.vcf.gz","SBS10a",0
"7316-409.vcf.gz","SBS10b",0
"7316-409.vcf.gz","SBS10c",0
"7316-409.vcf.gz","SBS10d",0
"7316-409.vcf.gz","SBS11",0
"7316-409.vcf.gz","SBS12",0
"7316-409.vcf.gz","SBS13",0
"7316-409.vcf.gz","SBS14",0
"7316-409.vcf.gz","SBS15",0
"7316-409.vcf.gz","SBS16",0
"7316-409.vcf.gz","SBS17a",29267.0853392348
"7316-409.vcf.gz","SBS17b",0
"7316-409.vcf.gz","SBS18",0
"7316-409.vcf.gz","SBS19",46767.2358201391
"7316-409.vcf.gz","SBS20",11207.6380482471
"7316-409.vcf.gz","SBS21",0
"7316-409.vcf.gz","SBS22",0
"7316-409.vcf.gz","SBS23",0
"7316-409.vcf.gz","SBS24",0
"7316-409.vcf.gz","SBS25",0
"7316-409.vcf.gz","SBS26",464300.144506461
"7316-409.vcf.gz","SBS28",8484.72962624791
"7316-409.vcf.gz","SBS29",0
"7316-409.vcf.gz","SBS30",0
"7316-409.vcf.gz","SBS31",0
"7316-409.vcf.gz","SBS32",219294.405240124
"7316-409.vcf.gz","SBS33",126871.272465936
"7316-409.vcf.gz","SBS34",27182.5460562698
"7316-409.vcf.gz","SBS35",0
"7316-409.vcf.gz","SBS36",0
"7316-409.vcf.gz","SBS37",27218.5343273985
"7316-409.vcf.gz","SBS38",0
"7316-409.vcf.gz","SBS39",83329.8511487528
"7316-409.vcf.gz","SBS40",0
"7316-409.vcf.gz","SBS41",0
"7316-409.vcf.gz","SBS42",0
"7316-409.vcf.gz","SBS44",0
"7316-409.vcf.gz","SBS84",0
"7316-409.vcf.gz","SBS85",14957.1307260885
"7316-409.vcf.gz","SBS86",0
"7316-409.vcf.gz","SBS87",88059.7328093083
"7316-409.vcf.gz","SBS88",0
"7316-409.vcf.gz","SBS89",247705.854255963
"7316-409.vcf.gz","SBS90",0
"7316-409.vcf.gz","SBS91",0
"7316-409.vcf.gz","SBS92",0
"7316-409.vcf.gz","SBS93",0
"7316-409.vcf.gz","SBS94",0
