"File","Signature","Contribution"
"7316-1763.vcf.gz","SBS1",354798.859964324
"7316-1763.vcf.gz","SBS2",13082.0602554032
"7316-1763.vcf.gz","SBS3",0
"7316-1763.vcf.gz","SBS4",0
"7316-1763.vcf.gz","SBS5",2202693.22525567
"7316-1763.vcf.gz","SBS6",0
"7316-1763.vcf.gz","SBS7a",0
"7316-1763.vcf.gz","SBS7b",0
"7316-1763.vcf.gz","SBS7c",8810.7596081949
"7316-1763.vcf.gz","SBS7d",0
"7316-1763.vcf.gz","SBS8",0
"7316-1763.vcf.gz","SBS9",68905.7333994062
"7316-1763.vcf.gz","SBS10a",0
"7316-1763.vcf.gz","SBS10b",0
"7316-1763.vcf.gz","SBS10c",0
"7316-1763.vcf.gz","SBS10d",0
"7316-1763.vcf.gz","SBS11",0
"7316-1763.vcf.gz","SBS12",0
"7316-1763.vcf.gz","SBS13",0
"7316-1763.vcf.gz","SBS14",0
"7316-1763.vcf.gz","SBS15",0
"7316-1763.vcf.gz","SBS16",0
"7316-1763.vcf.gz","SBS17a",29501.2633010179
"7316-1763.vcf.gz","SBS17b",0
"7316-1763.vcf.gz","SBS18",0
"7316-1763.vcf.gz","SBS19",46572.081161733
"7316-1763.vcf.gz","SBS20",10049.8978820147
"7316-1763.vcf.gz","SBS21",0
"7316-1763.vcf.gz","SBS22",0
"7316-1763.vcf.gz","SBS23",0
"7316-1763.vcf.gz","SBS24",0
"7316-1763.vcf.gz","SBS25",0
"7316-1763.vcf.gz","SBS26",470195.659710918
"7316-1763.vcf.gz","SBS28",7898.92281180555
"7316-1763.vcf.gz","SBS29",0
"7316-1763.vcf.gz","SBS30",0
"7316-1763.vcf.gz","SBS31",0
"7316-1763.vcf.gz","SBS32",218597.976410252
"7316-1763.vcf.gz","SBS33",127993.224687518
"7316-1763.vcf.gz","SBS34",26399.6913309018
"7316-1763.vcf.gz","SBS35",0
"7316-1763.vcf.gz","SBS36",0
"7316-1763.vcf.gz","SBS37",25911.1320274612
"7316-1763.vcf.gz","SBS38",0
"7316-1763.vcf.gz","SBS39",84975.910720194
"7316-1763.vcf.gz","SBS40",0
"7316-1763.vcf.gz","SBS41",0
"7316-1763.vcf.gz","SBS42",0
"7316-1763.vcf.gz","SBS44",4723.20979829378
"7316-1763.vcf.gz","SBS84",0
"7316-1763.vcf.gz","SBS85",10987.0847802406
"7316-1763.vcf.gz","SBS86",0
"7316-1763.vcf.gz","SBS87",87588.0611466152
"7316-1763.vcf.gz","SBS88",0
"7316-1763.vcf.gz","SBS89",250795.343213144
"7316-1763.vcf.gz","SBS90",0
"7316-1763.vcf.gz","SBS91",0
"7316-1763.vcf.gz","SBS92",0
"7316-1763.vcf.gz","SBS93",0
"7316-1763.vcf.gz","SBS94",0
