"File","Signature","Contribution"
"7316-343.vcf.gz","SBS1",354485.789539205
"7316-343.vcf.gz","SBS2",11905.3404920268
"7316-343.vcf.gz","SBS3",0
"7316-343.vcf.gz","SBS4",0
"7316-343.vcf.gz","SBS5",2206715.46143051
"7316-343.vcf.gz","SBS6",0
"7316-343.vcf.gz","SBS7a",0
"7316-343.vcf.gz","SBS7b",0
"7316-343.vcf.gz","SBS7c",9836.02454668823
"7316-343.vcf.gz","SBS7d",0
"7316-343.vcf.gz","SBS8",0
"7316-343.vcf.gz","SBS9",78633.9640084913
"7316-343.vcf.gz","SBS10a",0
"7316-343.vcf.gz","SBS10b",0
"7316-343.vcf.gz","SBS10c",0
"7316-343.vcf.gz","SBS10d",0
"7316-343.vcf.gz","SBS11",0
"7316-343.vcf.gz","SBS12",0
"7316-343.vcf.gz","SBS13",0
"7316-343.vcf.gz","SBS14",0
"7316-343.vcf.gz","SBS15",0
"7316-343.vcf.gz","SBS16",0
"7316-343.vcf.gz","SBS17a",27620.3667908584
"7316-343.vcf.gz","SBS17b",0
"7316-343.vcf.gz","SBS18",0
"7316-343.vcf.gz","SBS19",47479.6030232436
"7316-343.vcf.gz","SBS20",13000.1750736284
"7316-343.vcf.gz","SBS21",0
"7316-343.vcf.gz","SBS22",0
"7316-343.vcf.gz","SBS23",0
"7316-343.vcf.gz","SBS24",0
"7316-343.vcf.gz","SBS25",0
"7316-343.vcf.gz","SBS26",475881.146730166
"7316-343.vcf.gz","SBS28",6915.62409300282
"7316-343.vcf.gz","SBS29",0
"7316-343.vcf.gz","SBS30",0
"7316-343.vcf.gz","SBS31",0
"7316-343.vcf.gz","SBS32",221097.20490023
"7316-343.vcf.gz","SBS33",128609.610330789
"7316-343.vcf.gz","SBS34",28000.1785549038
"7316-343.vcf.gz","SBS35",0
"7316-343.vcf.gz","SBS36",0
"7316-343.vcf.gz","SBS37",18311.1598357638
"7316-343.vcf.gz","SBS38",0
"7316-343.vcf.gz","SBS39",90708.6859601388
"7316-343.vcf.gz","SBS40",0
"7316-343.vcf.gz","SBS41",0
"7316-343.vcf.gz","SBS42",0
"7316-343.vcf.gz","SBS44",0
"7316-343.vcf.gz","SBS84",0
"7316-343.vcf.gz","SBS85",0
"7316-343.vcf.gz","SBS86",0
"7316-343.vcf.gz","SBS87",89013.0328900408
"7316-343.vcf.gz","SBS88",0
"7316-343.vcf.gz","SBS89",229458.827847236
"7316-343.vcf.gz","SBS90",0
"7316-343.vcf.gz","SBS91",0
"7316-343.vcf.gz","SBS92",0
"7316-343.vcf.gz","SBS93",0
"7316-343.vcf.gz","SBS94",0
